id,xPos,yPos,zPos,xRot,yRot,zRot,frametime
1,8828.842,8473.881,8959.732,244.972,121.009,67.595,6.041
2,3389.209,9226.932,9876.114,93.264,173.249,207.734,27.764
3,9747.856,8787.008,6566.31,313.184,185.91,219.633,13.155
4,1329.82,6827.305,5037.845,50.095,110.833,278.792,16.237
5,9965.202,6314.35,1818.249,183.715,30.17,189.573,15.037
6,7049.466,7484.041,8678.619,288.479,132.546,194.16,19.874
7,7186.901,500.568,6367.614,260.496,349.132,196.885,17.367
8,2191.778,3290.648,9437.351,197.655,134.591,141.181,26.517
9,4939.342,4092.727,5936.28,346.855,74.899,315.094,8.315
10,8601.702,8127.611,2844.382,91.897,292.199,331.492,6.118
11,3255.045,5250.183,7273.08,233.342,150.525,8.65,30.415
12,3228.2,6068.684,3247.623,236.411,175.134,351.367,24.905
13,9128.936,3397.258,8588.55,71.556,153.909,242.284,23.324
14,5391.125,3169.195,4009.029,328.966,298.084,180.14,28.804
15,6058.694,7041.645,9949.835,198.934,45.806,228.621,28.887
16,7673.843,9582.914,9325.632,167.182,171.487,151.073,5.762
17,2519.111,899.506,8833.842,132.855,333.801,125.44,12.735
18,8997.763,5623.614,7294.294,177.629,305.54,110.304,10.693
19,5914.407,8963.897,9217.597,180.242,108.485,232.77,33.808
20,9700.851,600.361,6545.81,232.098,334.082,71.508,29.842
21,4570.435,6325.623,6752.655,286.148,306.562,261.542,24.777
22,1919.854,5015.111,2750.913,328.82,79.857,142.599,12.126
23,4362.944,9470.923,8080.936,217.454,96.402,144.961,30.85
24,4253.212,4024.517,6659.82,347.517,132.319,304.772,21.582
25,182.079,974.511,7729.635,119.028,272.16,84.662,19.981
26,4722.162,5262.04,5045.124,27.145,282.295,351.731,12.621
27,2307.39,1925.957,5724.727,210.519,113.114,85.231,9.703
28,3269.997,1818.623,5686.372,221.697,204.606,347.303,11.546
29,915.104,3991.366,7263.917,2.86,249.245,194.496,31.803
30,7778.235,187.022,9134.059,102.11,139.149,258.614,10.381
31,3393.088,3212.609,5239.093,75.185,72.287,173.876,22.844
32,3335.614,4144.866,9203.35,128.111,227.794,339.564,21.014
33,9712.886,4427.912,8117.284,171.662,296.973,45.963,33.903
34,4751.572,6337.188,7776.829,61.188,181.831,174.572,8.973
35,1176.241,5461.227,5190.142,131.938,278.19,95.859,16.633
36,5475.209,91.564,8585.953,73.181,34.608,307.2,25.09
37,843.676,3614.996,3647.53,74.007,144.804,214.018,33.803
38,9583.65,732.983,470.967,343.25,184.916,199.597,27.264
39,4476.264,5618.907,9013.877,287.66,298.485,77.269,17.011
40,5259.121,479.837,4963.631,332.644,236.898,31.122,15.594
41,5366.568,6229.101,2581.887,272.917,19.48,301.406,27.001
42,2361.181,2035.877,4911.305,191.684,154.487,173.83,31.759
43,4183.416,6034.572,9019.536,175.878,188.224,308.824,31.713
44,3357.486,7432.613,5916.534,37.595,305.556,73.975,16.003
45,7006.472,1495.282,8871.463,227.694,234.976,277.565,8.535
46,8613.255,4960.925,6853.887,276.474,304.566,47.015,28.937
47,9817.655,8239.476,3536.331,256.13,90.528,260.094,33.488
48,5596.535,3965.308,3696.688,275.528,199.624,259.67,12.021
49,2659.853,6369.861,269.065,0.963,93.659,185.41,25.253
50,7827.218,9618.791,9290.411,33.822,327.993,213.825,29.331
51,1607.938,8341.814,220.76,136.114,77.422,355.467,28.647
52,2728.069,4405.617,1338.621,242.988,197.899,257.185,9.494
53,1383.956,5311.458,8448.211,5.4,340.944,66.084,25.959
54,7147.285,5363.752,9817.933,123.144,171.403,178.72,31.681
55,589.565,4430.214,1717.563,137.115,210.327,253.084,33.904
56,8560.447,2789.813,9981.798,58.31,182.056,322.588,11.636
57,2549.957,715.396,1894.621,210.371,268.241,285.963,22.33
58,2911.9,5623.248,8530.019,224.8,301.201,284.307,27.621
59,7212.367,4194.523,2145.373,171.971,141.148,112.788,23.045
60,8756.678,8198.039,4540.325,105.787,134.161,302.458,12.101
61,5233.349,939.119,9936.819,195.395,277.683,110.127,30.386
62,4396.779,6439.121,9319.639,44.873,125.647,207.353,15.922
63,5166.142,9945.744,3084.74,235.558,305.008,198.351,23.534
64,877.126,4541.714,3445.784,341.388,134.426,203.856,6.09
65,2891.629,9152.531,3677.542,256.936,189.99,341.201,14.026
66,3867.573,1196.1,327.18,218.265,74.782,203.071,20.613
67,2349.717,8751.687,8854.54,281.138,235.747,326.747,7.578
68,8646.759,3402.541,7066.839,90.946,148.475,246.286,32.741
69,8071.046,4008.399,4861.422,299.285,311.69,151.984,24.072
70,5011.599,8674.837,876.443,244.134,113.511,133.444,24.888
71,7488.084,8670.917,1650.982,229.65,72.083,40.485,9.191
72,2484.857,1944.19,7114.273,210.947,51.24,13.921,32.844
73,3617.342,8892.35,7858.652,339.098,172.655,151.456,7.301
74,7835.053,2109.537,2563.024,262.724,26.838,208.721,12.806
75,7562.31,7759.341,999.395,200.693,222.221,135.809,18.693
76,8403.24,7586.122,3930.21,60.836,198.712,359.732,23.817
77,112.033,5034.609,4627.848,120.934,82.285,170.702,16.241
78,479.825,8979.738,9148.295,249.531,211.308,151.619,12.885
79,9262.12,5444.209,5070.517,290.875,67.199,106.664,11.305
80,3649.622,8511.547,1749.426,194.465,66.754,43.302,15.848
81,2049.22,111.015,1938.449,32.56,218.566,267.517,12.346
82,3256.628,4191.261,7947.672,295.818,337.926,12.728,10.947
83,3137.779,618.087,9894.311,99.476,227.951,141.837,20.893
84,1416.918,255.323,5665.375,7.924,203.268,331.887,33.869
85,8038.309,4964.057,4241.017,221.632,36.386,129.564,30.091
86,8088.953,4347.567,1217.347,201.09,240.259,194.534,20.28
87,5849.693,6591.326,7626.085,61.313,239.363,225.678,13.987
88,9169.771,9350.802,4115.819,104.625,353.542,58.802,23.785
89,1882.244,1923.544,3467.982,327.115,130.836,72.345,23.778
90,8889.281,4980.32,4870.151,120.463,88.335,229.211,32.501
91,7092.397,1873.274,7248.294,221.014,225.049,13.169,28.311
92,5876.084,9798.234,6435.602,69.473,284.611,41.893,6.54
93,6858.172,1315.587,305.719,134.816,46.337,191.227,14.781
94,9329.193,6060.694,6344.749,185.343,91.324,249.096,27.772
95,8227.067,7506.062,8184.107,229.604,188.695,128.666,14.947
96,4876.772,6367.112,8471.652,199.661,278.909,112.318,33.18
97,1862.303,9303.918,8686.695,101.99,187.315,166.867,32.042
98,1547.949,1090.176,8437.442,56.509,144.084,287.745,13.418
99,5905.012,9252.449,6934.945,213.943,282.572,312.716,32.335
100,1260.227,8045.457,5725.167,155.234,179.766,27.295,23.975
101,5487.5,1328.046,8429.052,356.516,269.062,356.897,14.148
102,4920.972,1233.79,1122.371,174.777,231.428,326.612,22.8
103,6582.649,3201.989,1909.726,233.254,39.875,29.454,23.295
104,3780.858,5732.532,1889.818,344.384,222.088,340.994,32.193
105,2880.538,4931.388,9313.155,251.679,358.308,109.477,19.44
106,4477.323,2468.326,6167.217,264.144,130.843,121.464,29.159
107,9003.955,1286.018,2993.403,295.908,358.873,296.77,19.807
108,3377.415,9416.258,8246.586,328.191,176.663,185.344,30.132
109,920.202,7186.887,7351.209,289.638,137.737,323.311,21.732
110,1442.446,4983.151,2168.3,193.268,182.126,282.336,17.39
111,9442.473,2298.436,761.543,288.699,163.295,290.599,29.625
112,4430.409,3726.966,9349.991,265.15,272.022,246.26,27.529
113,503.699,1692.832,3384.254,343.728,10.327,267.731,25.009
114,4204.255,6953.511,7931.048,100.486,311.197,158.682,11.144
115,7717.721,7346,1599.119,153.684,111.957,3.239,23.032
116,4329.58,669.552,2451.912,76.472,347.417,225.329,29.468
117,9134.38,2759.144,8980.443,319.569,151.11,260.522,23.361
118,1113.185,3359.622,2103.168,348.905,179.771,57.325,32.284
119,8238.455,1959.537,9421.777,130.375,67.808,308.292,20.319
120,5084.303,9366.8,2135.032,242.482,90.611,237.864,27.396
121,1332.926,6192.32,9911.651,242.16,92.647,345.449,29.916
122,2863.915,3350.366,4644.039,166.339,280.582,154.101,22.417
123,3116.11,4581.902,2259.177,300.791,117.095,215.081,30.101
124,2072.388,4029.119,9927.225,5.807,258.629,306.311,12.895
125,489.871,6522.377,8105.207,96.853,183.427,176.67,8.574
126,7011.405,5562.289,7044.841,12.564,137.509,242.691,13.983
127,5339.773,7269.966,7223.931,89.048,114.997,153.939,14.649
128,8541.618,5670.31,8362.946,276.385,19.033,334.38,7.605
129,6413.822,6190.549,865.403,238.293,337.083,92.457,30.527
130,6282.358,6924.101,9659.485,349.062,333.83,9.116,20.037
131,9416.441,533.853,5682.129,194.553,80.762,168.805,9.319
132,2496.639,4593.576,5271.979,115.994,255.439,189.075,29.088
133,422.42,3851.303,405.363,66.063,30.033,8.054,24.877
134,2811.642,3591.898,6687.004,257.154,35.511,189.859,7.348
135,7582.493,4590.174,5419.756,19.886,139.846,5.208,28.098
136,2265.664,6842.284,5631.569,219.948,340.035,49.876,9.534
137,9083.465,974.612,9114.191,53.52,116.577,289.99,21.597
138,8811.495,2817.401,1140.453,73.213,44.621,87.046,10.93
139,2161.241,6875.63,5168.953,238.11,101.246,312.225,30.832
140,4102.209,9400.693,4521.301,187.591,175.967,242.686,11.168
141,2019.981,6551.071,3777.172,137.61,129.462,46.359,19.276
142,8661.707,2294.799,6340.49,299.204,268.273,154.518,17.599
143,4689.522,3628.94,1060.975,358.08,331.728,251.24,28.782
144,513.958,5414.594,2158.567,101.071,355.316,347.256,6.146
145,6143.077,4114.621,7709.229,139.289,284.535,142.176,23.29
146,24.293,4362.419,7369.072,320.952,60.855,290.607,16.256
147,770.884,8949.051,2339.639,51.444,55.112,223.82,24.015
148,3128.247,3682.948,846.308,234.273,233.921,57.162,9.126
149,6026.457,4428.015,9187.04,5.479,208.688,158.274,19.026
150,2106.246,2737.952,8578.88,310.761,278.133,196.377,30.083
151,867.452,5590.059,6770.747,44.059,299.713,4.855,6.012
152,3004.71,7758.159,3884.331,89.306,285.674,7.461,30.675
153,9715.025,5925.055,2039.531,98.273,358.47,296.593,20.491
154,4081.76,488.381,321.687,7.532,290.915,135.646,14.957
155,9082.037,3981.628,7514.639,142.302,65.802,289.443,7.954
156,9589.427,4052.198,8313.582,336.024,172.994,202.925,21.154
157,5191.948,2578.464,1215.35,256.393,94.424,119.806,6.186
158,30.114,8848.372,7942.011,332.934,340.107,128.649,28.291
159,3064.007,5797.901,917.52,63.835,180.908,40.801,28.087
160,1022.727,50.99,3274.918,170.997,292.633,127.335,23.911
161,7622.454,1624.173,5894.509,162.232,86.487,251.403,25.99
162,3996.355,4363.589,6758.683,4.814,331.589,28.421,7.798
163,2069.969,9353.046,9849.17,114.387,18.368,348.731,7.707
164,2138.399,668.055,9339.456,123.739,288.688,20.517,28.594
165,8410.565,5872.163,2737.475,73.635,165.864,167.521,27.04
166,3076.672,47.151,5790.492,242.646,265.254,59.727,16.25
167,5533.428,6696.597,3967.004,202.7,216.831,348.754,15.928
168,1220.265,1778.472,5592.892,341.647,100.574,340.92,18.957
169,200.937,5744.67,5854.975,27.521,7.368,13.527,10.937
